Name	CMC	Type	Color	Tags	Rarity	Override Name	Image URL	
Drake Wrangler	5	Creature — Human 	WU		uncommon	Drake Wrangler		
Tofnet Riftstalker	3	Creature — Hyena Scout 	WB		uncommon	Tofnet Riftstalker		
Passage Overseer	3	Creature — Minotaur Scout 	WR		uncommon	Passage Overseer		
Bruin Wanderer	3	Creature — Bear Scout 	WG		uncommon	Bruin Wanderer		
Avakin Riftseeker	3	Creature — Bird Wizard 	UB		uncommon	Avakin Riftseeker		
Untamed Drake	2	Creature — Drake 	UR		uncommon	Untamed Drake		
Aeon Awakener	3	Creature — Human Wizard 	BG		uncommon	Aeon Awakener		
Bulwark of the Thicket	4	Creature — Wurm Warrior 	RG		uncommon	Bulwark of the Thicket		
Multaphs Riftwarden	4	Creature — Elk Shaman 	UG		uncommon	Multaphs Riftwarden		
Rush Down	2	Instant	WR		common	Rush Down		
Purge the Clanless	5	Instant	WB		common	Purge the Clanless		
Survivors Instinct	1	Instant	WG		uncommon	Survivors Instinct		
Entrance of Hunger	2	Instant	WU		uncommon	Entrance of Hunger		
Prismatism	1	Instant	UR		common	Prismatism		
Aerial Roost	4	Enchantment	UB		uncommon	Aerial Roost		
Soul Fire	3	Instant	BR		uncommon	Soul Fire		
Dust to Life	2	Instant	BG		common	Dust to Life		
Hired Enforcer	4	Creature — Human Scout Mercenary 	WB		uncommon	Hired Enforcer		
Perplexing Ray	3	Tribal Enchantment — Fish Entity 	UR		uncommon	Perplexing Ray		
Clanless Usurper	5	Creature — Human Rogue 	UR		uncommon	Clanless Usurper		
Opportunistic Scavenger	2	Tribal Enchantment — Squirrel Entity 	BG		uncommon	Opportunistic Scavenger		
Outlands Bulwark	4	Creature — Human Warrior 	BG		uncommon	Outlands Bulwark		
Mischievous Fox	2	Tribal Enchantment — Fox Entity 	WR		uncommon	Mischievous Fox		
Roduths Guard	4	Creature — Wurm Warrior 	WR		uncommon	Roduths Guard		
Ageless History	3	Tribal Enchantment — Turtle Entity 	UG		uncommon	Ageless History		
Icebound Reinforcements	3	Creature — Human Scout 	UG		uncommon	Icebound Reinforcements		
Blossoming Mentor	1	Creature — Human Cleric Shaman 	WG		uncommon	Blossoming Mentor		
Accord Mentor	3	Creature — Elf Wizard 	WU		uncommon	Accord Mentor		
Eternal Mentor	2	Creature — Human Zombie Shaman 	UB		uncommon	Eternal Mentor		
Conflict Mentor	4	Creature — Human Warrior 	BR		uncommon	Conflict Mentor		
Outcast Mentor	2	Creature — Human Warlock 	RG		uncommon	Outcast Mentor		
Fadove Initiate	1	Creature — Human Scout 	W		common	Fadove Initiate		
Fadove Trainer	1	Creature — Human Warrior Spellshaper 	W		common	Fadove Trainer		
Trusted Companion	2	Creature — Drake 	W		uncommon	Trusted Companion		
Fadove Tracker	2	Creature — Hyena Scout Spellshaper 	W		common	Fadove Tracker		
Outlands Marauder	3	Creature — Hyena Warrior 	W		common	Outlands Marauder		
Wandering Soul	3	Enchantment Creature — Icon Nomad 	W		common	Wandering Soul		
Fadove Drillmaster	4	Creature — Hyena Warrior Spellshaper 	W		common	Fadove Drillmaster		
Oathkeep Wurm	6	Creature — Wurm Warrior 	W		common	Oathkeep Wurm		
Drake Rider	5	Creature — Human Scout 	W		common	Drake Rider		
Radiant Guide	6	Enchantment Creature — Icon Cat 	W		uncommon	Radiant Guide		
Covetous Fox	2	Tribal Enchantment — Fox Entity 	UB		common	Covetous Fox		
Rebuke the Foul	2	Instant	W		common	Rebuke the Foul		
Maddened by Hunger	3	Enchantment — Aura 	W		common	Maddened by Hunger		
Fadove Bodyguard	2	Creature — Human Knight 	W		uncommon	Fadove Bodyguard		
Combat Diviner	3	Creature — Wurm Warrior 	W		uncommon	Combat Diviner		
Frostborn Sentinel	5	Enchantment Creature — Icon Soldier 	U		common	Frostborn Sentinel		
Respite Partisan	4	Enchantment Creature — Icon Elk 	U		common	Respite Partisan		
Due Dismissal	2	Instant	U		common	Due Dismissal		
Denied by Nature	2	Instant	U		uncommon	Denied by Nature		
Repel the Invasion	3	Instant	U		common	Repel the Invasion		
Storm Bearer	2	Creature — Elf Warlock Spellshaper 	U		uncommon	Storm Bearer		
Resolute Watcher	4	Enchantment Creature — Icon Warlock 	U		uncommon	Resolute Watcher		
Avakin Sayer	3	Creature — Bird Warlock 	U		uncommon	Avakin Sayer		
Avlod Diviner	2	Creature — Human Wizard 	U		uncommon	Avlod Diviner		
Aspiring Mount	5	Creature — Drake 	U		uncommon	Aspiring Mount		
Cooing Foundling	1	Creature — Bird Scout 	B		common	Cooing Foundling		
Avakin Avenger	2	Creature — Bird Archer Spellshaper 	B		common	Avakin Avenger		
Gateway Guardian	2	Creature — Human Warrior Spellshaper 	B		common	Gateway Guardian		
Avakin Riftwalker	3	Creature — Bird Warlock 	B		common	Avakin Riftwalker		
Rift Tender	3	Creature — Human Shaman Spellshaper 	B		common	Rift Tender		
Waking Words	4	Enchantment Creature — Icon Rogue 	B		common	Waking Words		
Avakin Cleaner	3	Creature — Bird Scout 	B		common	Avakin Cleaner		
Avakin Assaulter	5	Creature — Bird Warrior 	B		common	Avakin Assaulter		
Scornful Pursuit	5	Enchantment Creature — Icon Rogue 	B		uncommon	Scornful Pursuit		
Left for the Crows	4	Sorcery	B		common	Left for the Crows		
Weight of Betrayal	1	Enchantment — Aura 	B		common	Weight of Betrayal		
Iconic Resurgence	1	Instant	B		common	Iconic Resurgence		
Avlod Necklace	1	Artifact — Equipment 	B		common	Avlod Necklace		
Avakin Mentor	3	Creature — Bird Wizard Spellshaper 	B		uncommon	Avakin Mentor		
Shaman of Rites Lost	2	Creature — Human Warlock 	B		uncommon	Shaman of Rites Lost		
Avakin Hireblade	4	Creature — Bird Mercenary 	B		uncommon	Avakin Hireblade		
Frontline Assaulter	1	Creature — Minotaur Warrior Spellshaper 	R		common	Frontline Assaulter		
Minotaur Riftcaller	2	Creature — Minotaur Shaman 	R		common	Minotaur Riftcaller		
Fervent Incandescence	2	Enchantment Creature — Icon Wizard 	R		uncommon	Fervent Incandescence		
Mordel Patrol	3	Creature — Human Warrior 	R		common	Mordel Patrol		
Tenuous Empowerment	3	Enchantment Creature — Icon Wizard 	R		common	Tenuous Empowerment		
Mordel Drillmaster	5	Creature — Minotaur Warrior Spellshaper 	R		common	Mordel Drillmaster		
Verem-Volcano Rumbler	4	Creature — Wurm Warrior 	R		common	Verem-Volcano Rumbler		
Stalking Entity	3	Tribal Enchantment — Cat Entity 	RG		common	Stalking Entity		
Iconic Resolution	2	Instant	R		common	Iconic Resolution		
Conscripted by the Clanless	3	Sorcery	R		common	Conscripted by the Clanless		
Clanless Destruction	1	Enchantment	R		common	Clanless Destruction		
Unexpected Discovery	3	Sorcery	R		common	Unexpected Discovery		
Brood Protector	3	Enchantment Creature — Icon Wurm 	R		uncommon	Brood Protector		
Minotaur Outlander	4	Creature — Minotaur Warrior Spellshaper 	R		uncommon	Minotaur Outlander		
Mordel Excursionist	1	Creature — Human Scout Spellshaper 	R		uncommon	Mordel Excursionist		
Lavaskimmer Wurm	6	Creature — Wurm Shaman 	R		common	Lavaskimmer Wurm		
Torch	1	Instant	R		uncommon	Torch		
Farming Wurm	1	Creature — Wurm Shaman 	G		common	Farming Wurm		
Awakened Harmony	3	Enchantment Creature — Icon Druid 	G		common	Awakened Harmony		
